Conc,Thick
452,.14
139,.21
166,.23
175,.24
260,.26
204,.28
138,.29
316,.29
396,.3
46,.31
218,.34
173,.36
220,.37
147,.39
216,.42
216,.46
206,.49
184,.19
177,.22
246,.23
296,.25
188,.26
89,.28
198,.29
122,.3
250,.3
256,.31
261,.34
132,.36
212,.37
171,.4
164,.42
199,.46
115,.2
214,.22
177,.23
205,.25
208,.26
320,.28
191,.29
305,.3
230,.3
204,.32
143,.35
175,.36
119,.39
216,.41
185,.42
236,.47
315,.2
356,.22
289,.23
324,.26
109,.27
265,.29
193,.29
203,.3
214,.3
150,.34
229,.35
236,.37
144,.39
232,.41
87,.44
237,.49
